index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_x,obs_qtn_y,obs_qtn_z,obs_qtn_w,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos
0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.999,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0008980472961981579,-0.003966041778104346,1.9833328611955214,0.004514735318809948,0.0024144529766569763,0.003437398088163365,0.9999809857573333,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.899000000000011,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.004844931810366538,-0.01385540851705551,1.9820609073784938,0.011212249275519412,0.01587535980540994,0.008353272053600412,0.9997762155918848,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.799000000000022,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.008246196543710792,-0.013819124627401253,1.9807239965595866,0.010870371707384953,0.028901136449752805,0.008329376712338412,0.9994884595704145,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.699000000000033,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.011521347884210146,-0.0141193334585143,1.978792538438329,0.010774469620249172,0.04150545016605903,0.008473287038944833,0.9990442491790195,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.599000000000044,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.014516881794516656,-0.013582106165593572,1.9764870809794788,0.009994688566423776,0.053328575761166036,0.008068894233595435,0.9984943976575896,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.499000000000055,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.015743664571923,-0.005376043509950243,1.9757205158078237,0.0026659483146637313,0.06110780364063206,0.002400340217701721,0.9981247253828756,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.399000000000066,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.01622993986898826,-0.001553753582456,1.975367688493195,-0.0003966945296259996,0.0642564554536633,-1.4815682942520542e-05,0.9979333396306975,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.299000000000077,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.016230386246614,-0.0015650390973047385,1.9753669534104663,-0.0003974107774355034,0.06425464125400883,-1.1052305646099435e-05,0.9979334562082981,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.199000000000088,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.016230626407422125,-0.0015760625877396228,1.975366485643546,-0.0003972332072571888,0.06425376380713073,-7.659901851152602e-06,0.9979335128072022,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0990000000000992,-0.49999984146591736,-0.49960183664463337,0.49999984146591736,0.5003981633553667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
