index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obj_joint_0_pos,obj_joint_1_pos,obj_joint_2_pos,obj_joint_3_pos,obj_joint_4_pos,obj_joint_5_pos,obj_joint_6_pos,obj_joint_7_pos,obj_joint_8_pos,obs_pos_x,obs_pos_y,obs_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
0,-0.05,0.3,0.302,0.1750106585221694,0.17487134830626275,0.6848516979508652,0.685397280968493,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,-1.57,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.32,,,0.09345521588243008
4,-0.05,0.3,0.31,0.1750106585221694,0.17487134830626275,0.6848516979508652,0.685397280968493,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,-1.57,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.328,,,0.08681059984986456
8,-0.05,0.3,0.318,0.1750106585221694,0.17487134830626275,0.6848516979508652,0.685397280968493,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,-1.57,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.045,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.045,0.0,0.0,0.336,,,0.0567623041178624
12,-0.05,0.3,0.326,0.1750106585221694,0.17487134830626275,0.6848516979508652,0.685397280968493,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,-1.57,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.06499999999999999,0.0,0.0,0.0,0.06499999999999999,0.0,0.0,0.0,0.06499999999999999,0.0,0.0,0.34400000000000003,,,0.13104986235260566
16,-0.05,0.3,0.334,0.1750106585221694,0.17487134830626275,0.6848516979508652,0.685397280968493,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,-1.57,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.085,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.085,0.0,0.0,0.35200000000000004,,,0.1292317719912685
20,-0.05,0.3,0.342,0.1750106585221694,0.17487134830626275,0.6848516979508652,0.685397280968493,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,-1.57,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.10500000000000002,0.0,0.0,0.0,0.10500000000000002,0.0,0.0,0.0,0.10500000000000002,0.0,0.0,0.36000000000000004,,,0.4989606159314656
24,-0.05,0.3,0.35000000000000003,0.1750106585221694,0.17487134830626275,0.6848516979508652,0.685397280968493,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,-1.57,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.12500000000000003,0.0,0.0,0.0,0.12500000000000003,0.0,0.0,0.0,0.12500000000000003,0.0,0.0,0.36800000000000005,,,0.38312521253909515
28,-0.05,0.3,0.35800000000000004,0.1750106585221694,0.17487134830626275,0.6848516979508652,0.685397280968493,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,-1.57,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.14500000000000005,0.0,0.0,0.0,0.14500000000000005,0.0,0.0,0.0,0.14500000000000005,0.0,0.0,0.37600000000000006,,,0.4702438033578763
32,-0.05,0.3,0.36600000000000005,0.1750106585221694,0.17487134830626275,0.6848516979508652,0.685397280968493,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,-1.57,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.16500000000000006,0.0,0.0,0.0,0.16500000000000006,0.0,0.0,0.0,0.16500000000000006,0.0,0.0,0.38400000000000006,,,0.13543345359033498
36,-0.05,0.3,0.37400000000000005,0.1750106585221694,0.17487134830626275,0.6848516979508652,0.685397280968493,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,-1.57,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.18500000000000008,0.0,0.0,0.0,0.18500000000000008,0.0,0.0,0.0,0.18500000000000008,0.0,0.0,0.39200000000000007,,,inf
40,-0.05,0.3,0.38200000000000006,0.1750106585221694,0.17487134830626275,0.6848516979508652,0.685397280968493,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,0.880144608505712,0,-1.57,0,-0.5,2.2,0.1505842917243781,-0.6910065596697561,-0.15058429172437815,0.6907667310062802,0.0,0.2050000000000001,0.0,0.0,0.0,0.2050000000000001,0.0,0.0,0.0,0.2050000000000001,0.0,0.0,0.4000000000000001,,,0.22162182348459494
