index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obs_pos_x,obs_pos_y,obs_pos_z,obj_qtn_x,obj_qtn_y,obj_qtn_z,obj_qtn_w,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018,,,0.20437957896187342
100,0.0008980472961981579,-0.003966041778104346,1.9833328611955214,0.004514735318809948,0.0024144529766569763,0.003437398088163365,0.9999809857573333,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0013328611955212,,,0.3470587549634838
200,0.004844931810366538,-0.01385540851705551,1.9820609073784938,0.011212249275519412,0.01587535980540994,0.008353272053600412,0.9997762155918848,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0000609073784936,,,0.27796953262604696
300,0.008246196543710792,-0.013819124627401253,1.9807239965595866,0.010870371707384953,0.028901136449752805,0.008329376712338412,0.9994884595704145,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9987239965595867,,,0.5214487234549028
400,0.011521347884210146,-0.0141193334585143,1.978792538438329,0.010774469620249172,0.04150545016605903,0.008473287038944833,0.9990442491790195,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.996792538438329,,,inf
500,0.014516881794516656,-0.013582106165593572,1.9764870809794788,0.009994688566423776,0.053328575761166036,0.008068894233595435,0.9984943976575896,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9944870809794788,,,inf
600,0.015743664571923,-0.005376043509950243,1.9757205158078237,0.0026659483146637313,0.06110780364063206,0.002400340217701721,0.9981247253828756,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9937205158078237,,,inf
700,0.01622993986898826,-0.001553753582456,1.975367688493195,-0.0003966945296259996,0.0642564554536633,-1.4815682942520542e-05,0.9979333396306975,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993367688493195,,,inf
800,0.016230386246614,-0.0015650390973047385,1.9753669534104663,-0.0003974107774355034,0.06425464125400883,-1.1052305646099435e-05,0.9979334562082981,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9933669534104663,,,inf
900,0.016230626407422125,-0.0015760625877396228,1.975366485643546,-0.0003972332072571888,0.06425376380713073,-7.659901851152602e-06,0.9979335128072022,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993366485643546,,,inf
1000,0.015948115382803718,0.0010993571784877847,1.9756966922296013,-0.001323496311082046,0.0636184391913373,-0.0007489638168001835,0.9979731367153997,0,-0.00157,1.0,0.7062696635894389,0.0,0.0,0.7079429089222243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9936966922296013,,,inf
1100,0.011269184683047469,0.025967718174723448,1.975085056117978,-0.05357983055418819,0.0516201139181363,0.010483253409589607,0.99717333848976,0,-0.15791612528234564,1.0124219420271832,0.648578216103176,0.0,0.0,0.7611480129360004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993085056117978,,,inf
